"@timestamp","log.original"
"2021-04-14 01:01:30.575","2021-04-14 03:01:30,575 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618362090575, type=ContextRefreshed, appName=storage, appVersion=1.0.114, scmRevision=a8ed4a3]"
"2021-04-14 01:01:28.289","2021-04-14 03:01:28,289 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618362088289, type=ContextRefreshed, appName=storage, appVersion=1.0.114, scmRevision=a8ed4a3]"
"2021-04-14 00:51:55.023","2021-04-14 02:51:55,023 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618361515023, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
"2021-04-14 00:51:54.483","2021-04-14 02:51:54,483 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618361514482, type=ContextRefreshed, appName=shipping, appVersion=1.0.342, scmRevision=d965b23]"
"2021-04-14 00:51:50.821","2021-04-14 02:51:50,821 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618361510819, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
"2021-04-14 00:51:48.568","2021-04-14 02:51:48,568 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618361508491, type=ContextRefreshed, appName=shipping, appVersion=1.0.342, scmRevision=d965b23]"
"2021-04-14 00:51:16.520","2021-04-14 02:51:16,520 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618361476519, type=ContextRefreshed, appName=customer, appVersion=1.0.48, scmRevision=e1e335f]"
"2021-04-14 00:51:14.629","2021-04-14 02:51:14,629 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618361474628, type=ContextRefreshed, appName=customer, appVersion=1.0.48, scmRevision=e1e335f]"
"2021-04-14 00:34:48.130","2021-04-14 02:34:48,130 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618360488130, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-14 00:34:47.453","2021-04-14 02:34:47,453 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618360487452, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-14 00:34:45.813","2021-04-14 02:34:45,813 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618360485813, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-14 00:34:44.970","2021-04-14 02:34:44,970 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618360484969, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-14 00:31:36.261","2021-04-14 02:31:36,261 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618360296261, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-14 00:31:33.972","2021-04-14 02:31:33,972 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618360293972, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-14 00:31:30.232","2021-04-14 02:31:30,232 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618360290232, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
